Resume,TF-IDF Similarity (%),Skill Match (%),Final Score,Matched Skills,Missing Skills
resume.pdf,14.94,87.5,36.71,"python, machine learning, sql, deep learning, pandas, numpy, tensorflow",nlp
50328713.pdf,5.44,62.5,22.56,"python, machine learning, sql, pandas, tensorflow","nlp, deep learning, numpy"
12011623.pdf,7.67,50.0,20.37,"python, machine learning, sql, pandas","nlp, deep learning, numpy, tensorflow"
28505854.pdf,7.58,25.0,12.8,"machine learning, tensorflow","python, nlp, sql, deep learning, pandas, numpy"
27152464.pdf,5.07,25.0,11.05,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
82246962.pdf,3.9,25.0,10.23,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
20566550.pdf,3.29,25.0,9.81,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
32985311.pdf,3.16,25.0,9.71,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
10624813.pdf,2.58,25.0,9.3,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
19396040.pdf,6.55,12.5,8.33,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
30097175.pdf,4.34,12.5,6.79,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
32081266.pdf,4.24,12.5,6.72,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
12472574.pdf,3.65,12.5,6.31,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
22890839.pdf,3.64,12.5,6.3,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28923650.pdf,3.62,12.5,6.28,machine learning,"python, nlp, sql, deep learning, pandas, numpy, tensorflow"
21038022.pdf,3.57,12.5,6.25,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
30288581.pdf,3.28,12.5,6.05,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
31694970.pdf,3.26,12.5,6.03,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
11890896.pdf,2.93,12.5,5.8,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
51588273.pdf,2.89,12.5,5.77,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
54227873.pdf,2.89,12.5,5.77,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
26456899.pdf,2.84,12.5,5.74,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
55953734.pdf,2.67,12.5,5.62,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17043822.pdf,2.48,12.5,5.49,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
10985403.pdf,2.34,12.5,5.39,machine learning,"python, nlp, sql, deep learning, pandas, numpy, tensorflow"
28630325.pdf,2.25,12.5,5.33,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
35389360.pdf,2.0,12.5,5.15,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
61579998.pdf,6.1,0.0,4.27,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
47919212.pdf,5.23,0.0,3.66,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
38535335.pdf,5.07,0.0,3.55,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
56691064.pdf,5.03,0.0,3.52,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
86828820.pdf,4.98,0.0,3.49,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
62071407.pdf,4.7,0.0,3.29,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
24322804.pdf,4.7,0.0,3.29,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
20882041.pdf,4.62,0.0,3.24,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
44624796.pdf,4.57,0.0,3.2,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
10030015.pdf,4.56,0.0,3.19,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
22605864.pdf,4.5,0.0,3.15,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
27040860.pdf,4.23,0.0,2.96,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
25608963.pdf,4.22,0.0,2.95,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
21847415.pdf,4.07,0.0,2.85,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17488801.pdf,4.03,0.0,2.82,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17926546.pdf,3.94,0.0,2.76,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
55595908.pdf,3.95,0.0,2.76,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17108676.pdf,3.93,0.0,2.75,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
12488356.pdf,3.93,0.0,2.75,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
49127329.pdf,3.91,0.0,2.74,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28631840.pdf,3.77,0.0,2.64,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
86209934.pdf,3.71,0.0,2.6,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
16803215.pdf,3.66,0.0,2.56,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
26834746.pdf,3.61,0.0,2.53,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28628090.pdf,3.58,0.0,2.51,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
23497307.pdf,3.57,0.0,2.5,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
90280583.pdf,3.56,0.0,2.49,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
32802563.pdf,3.42,0.0,2.4,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
38220146.pdf,3.4,0.0,2.38,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
21629057.pdf,3.27,0.0,2.29,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
13264796.pdf,3.25,0.0,2.27,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
96029688.pdf,3.22,0.0,2.25,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
23438227.pdf,3.22,0.0,2.25,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
11981094.pdf,3.17,0.0,2.22,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
36517781.pdf,3.13,0.0,2.19,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
77828437.pdf,3.01,0.0,2.11,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
27756469.pdf,2.94,0.0,2.06,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
81125166.pdf,2.91,0.0,2.04,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
16911115.pdf,2.91,0.0,2.03,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
39835894.pdf,2.84,0.0,1.99,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
64468610.pdf,2.83,0.0,1.98,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28078163.pdf,2.81,0.0,1.96,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
31677347.pdf,2.8,0.0,1.96,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
38314236.pdf,2.79,0.0,1.96,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
33685075.pdf,2.64,0.0,1.85,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
35651876.pdf,2.65,0.0,1.85,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
14049846.pdf,2.62,0.0,1.83,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
23234047.pdf,2.59,0.0,1.81,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
82125182.pdf,2.58,0.0,1.8,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
18753367.pdf,2.5,0.0,1.75,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
31684925.pdf,2.49,0.0,1.74,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
12748557.pdf,2.46,0.0,1.72,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
19553067.pdf,2.41,0.0,1.69,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
47276718.pdf,2.35,0.0,1.65,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
19397727.pdf,2.35,0.0,1.65,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
39855211.pdf,2.32,0.0,1.63,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
10712803.pdf,2.32,0.0,1.63,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
10219099.pdf,2.31,0.0,1.62,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
12518008.pdf,2.29,0.0,1.61,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
25425322.pdf,2.28,0.0,1.6,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
74236636.pdf,2.28,0.0,1.6,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
19124258.pdf,2.27,0.0,1.59,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
15139979.pdf,2.25,0.0,1.58,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28320387.pdf,2.24,0.0,1.57,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28762662.pdf,2.24,0.0,1.56,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
20981299.pdf,2.2,0.0,1.54,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17103000.pdf,2.17,0.0,1.52,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
35737840.pdf,2.14,0.0,1.5,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
35172961.pdf,2.13,0.0,1.49,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
60004873.pdf,2.09,0.0,1.46,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
24647794.pdf,1.98,0.0,1.38,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
37335325.pdf,1.96,0.0,1.37,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
43752620.pdf,1.95,0.0,1.36,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
19612167.pdf,1.91,0.0,1.34,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
64755882.pdf,1.9,0.0,1.33,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
47549345.pdf,1.81,0.0,1.27,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28831378.pdf,1.75,0.0,1.23,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
36149549.pdf,1.66,0.0,1.16,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28005884.pdf,1.63,0.0,1.14,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
15858254.pdf,1.56,0.0,1.09,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
15941675.pdf,1.28,0.0,0.9,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
30542184.pdf,1.25,0.0,0.88,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
14554542.pdf,1.19,0.0,0.83,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
14206561.pdf,1.16,0.0,0.81,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
25797445.pdf,1.12,0.0,0.79,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
13149176.pdf,1.09,0.0,0.77,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
15601399.pdf,1.1,0.0,0.77,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
25919149.pdf,0.95,0.0,0.67,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
21807224.pdf,0.89,0.0,0.63,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
25930778.pdf,0.82,0.0,0.57,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
21298336.pdf,0.62,0.0,0.44,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
12022566.pdf,0.54,0.0,0.38,,"python, machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
